country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Africa,1960,Unknown,283922289.0,,4.399,0.016,156.567,8.726,5.902,2578.319,-71.059,-2.682,9.094,5.678,0.277,0.552,0.345,0.216,103.522,0.365,71.392,4.1579999999999995,0.299,51.669,3038.079,39849.789,2541.867,0.0,1.564,78038.617,442.979,20.2635,13070.632,1.294,0.0,0.0,0.047,0.0,1.255,8.041,2436.261,8.593,407.589,1.436,147.112,0.518,48.598,0.171,0.067,1.3525,67.641,2.795,1.668,16.021,2.007,2.557,0.986,5.009,1.048,0.0,0.015,15.864,0.859,0.543,0.0,0.006,36.33,1.557,0.838,7.147,0.01,0.024,0.037,0.003,2283.131,356.25,1.518,8.701
Africa,1961,Unknown,290814083.0,,4.3,0.015,161.994,5.427,3.466,2073.495,-504.825,-19.58,7.141,4.47,0.277,0.558,0.349,0.216,105.003,0.362,71.392,4.1579999999999995,0.299,55.97,3200.073,41923.281,2646.87,0.0,2.062,79962.508,495.171,20.2635,13070.632,1.294,0.0,0.0,0.498,0.002,1.348,7.142,1923.884,6.625,452.506,1.556,159.929,0.55,52.193,0.18,0.067,1.3525,67.641,2.62,1.721,12.771,2.124,2.562,1.007,5.164,1.069,0.0,0.018,16.033,0.902,0.543,0.0,0.056,28.207,1.577,0.838,7.228,0.01,0.025,0.038,0.003,2077.045,391.892,1.518,8.701
Africa,1962,Unknown,297959967.0,,4.461,0.015,166.335,4.341,2.679,1886.398,-187.097,-9.023,6.341,3.922,0.277,0.559,0.346,0.216,106.668,0.359,71.392,4.1579999999999995,0.299,60.431,3366.408,43809.676,2753.539,0.0,2.802,81696.172,549.637,20.2635,13070.632,1.294,0.0,0.0,0.74,0.002,1.329,6.614,1733.67,5.827,455.391,1.528,161.729,0.543,54.466,0.183,0.067,1.3525,67.641,2.529,1.706,11.733,2.165,2.559,1.028,5.292,1.09,0.0,0.022,16.176,0.941,0.543,0.0,0.076,27.385,1.53,0.838,7.294,0.011,0.025,0.039,0.003,1970.782,395.964,1.518,8.701
Africa,1963,Unknown,305371382.0,,4.798,0.016,176.335,10.0,6.012,1670.873,-215.525,-11.425,5.48,3.236,0.277,0.578,0.342,0.216,109.186,0.358,71.392,4.1579999999999995,0.299,65.229,3542.743,45480.551,2862.725,1.147,3.52,83202.625,610.123,20.2635,13070.632,1.294,1.147,0.004,0.718,0.002,1.387,6.221,1506.452,4.941,475.485,1.557,164.015,0.537,60.486,0.198,0.067,1.3525,67.641,2.58,1.718,10.171,2.138,2.561,1.049,5.387,1.111,0.092,0.026,16.275,0.98,0.543,1.267,0.069,24.45,1.59,0.838,7.351,0.012,0.026,0.04,0.003,1899.818,423.619,1.518,8.701
Africa,1964,Unknown,313060731.0,,5.318,0.017,193.639,17.304,9.813,1585.554,-85.319,-5.106,5.072,2.912,0.277,0.619,0.356,0.216,115.604,0.37,71.392,4.1579999999999995,0.299,70.547,3736.383,47066.105,2978.329,3.024,4.971,84603.852,679.512,20.2635,13070.632,1.294,1.877,0.006,1.451,0.005,1.409,6.04,1401.228,4.483,480.464,1.535,167.066,0.534,69.389,0.222,0.067,1.3525,67.641,2.58,1.789,9.504,2.218,2.562,1.072,5.467,1.133,0.222,0.034,16.362,1.024,0.543,1.664,0.126,23.917,1.69,0.838,7.401,0.012,0.027,0.042,0.003,1890.864,441.203,1.518,8.701
Africa,1965,Unknown,321013569.0,,5.691,0.018,213.634,19.995,10.326,1422.168,-163.385,-10.305,4.437,2.481,2.911,0.667,0.373,0.437,124.891,0.39,71.392,4.1579999999999995,0.299,76.238,3950.017,48488.277,3103.22,7.972,7.093,85821.031,755.493,20.2635,2228.423,1.294,4.948,0.015,2.123,0.007,1.554,5.816,1217.178,3.797,522.775,1.629,170.676,0.532,75.982,0.237,0.067,1.3525,716.321,2.63,1.889,8.397,2.362,2.567,1.098,5.523,1.157,0.535,0.044,16.419,1.068,0.543,3.793,0.172,21.638,1.723,0.838,7.45,0.013,0.027,0.043,0.003,1867.017,498.986,1.518,8.701
Africa,1966,Unknown,329252360.0,,5.841,0.018,221.082,7.448,3.486,1304.675,-117.493,-8.262,3.969,2.216,2.578,0.673,0.375,0.437,123.843,0.377,71.392,4.1579999999999995,0.299,82.079,4171.099,49792.949,3227.063,13.165,9.453,86913.188,839.338,20.2635,2275.487,1.294,5.193,0.016,2.36,0.007,1.751,5.679,1092.155,3.322,596.237,1.811,172.595,0.524,83.845,0.255,0.067,1.3525,750.133,2.507,1.864,7.636,2.315,2.563,1.122,5.563,1.18,0.805,0.054,16.463,1.111,0.543,3.592,0.176,20.911,1.762,0.838,7.51,0.014,0.028,0.044,0.003,1869.86,576.444,1.518,8.701
Africa,1967,Unknown,337851070.0,,5.964,0.018,237.045,15.963,7.22,1342.63,37.955,2.909,3.98,2.237,2.65,0.703,0.395,0.468,127.101,0.377,71.392,4.1579999999999995,0.299,88.044,4408.144,51135.578,3354.165,33.928,11.772,88027.367,920.236,20.2635,2241.349,1.294,20.763,0.062,2.319,0.007,1.828,5.829,1114.184,3.303,627.802,1.858,177.249,0.525,80.898,0.24,0.067,1.3525,757.934,2.486,1.937,7.612,2.416,2.557,1.148,5.603,1.203,1.858,0.063,16.505,1.142,0.543,10.883,0.162,20.63,1.594,0.838,7.579,0.014,0.028,0.046,0.003,1969.387,617.645,1.518,8.701
Africa,1968,Unknown,346800965.0,,6.745,0.019,257.271,20.226,8.533,1332.752,-9.879,-0.736,3.849,2.123,2.479,0.743,0.41,0.479,132.504,0.383,71.392,4.1579999999999995,0.299,94.788,4665.416,52468.332,3486.668,63.596,14.136,89111.648,1006.227,20.2635,2307.324,1.294,29.668,0.086,2.364,0.007,1.711,5.518,1084.278,3.131,588.869,1.698,181.185,0.522,85.992,0.248,0.067,1.3525,800.596,2.642,1.994,7.308,2.491,2.563,1.176,5.636,1.227,3.132,0.069,16.543,1.168,0.543,14.557,0.152,20.334,1.555,0.838,7.624,0.015,0.029,0.047,0.003,1913.707,593.488,1.518,8.701
Africa,1969,Unknown,356032572.0,,7.696,0.022,277.717,20.445,7.947,1375.873,43.121,3.235,3.871,2.03,2.552,0.781,0.41,0.515,135.191,0.38,71.392,4.1579999999999995,0.299,102.484,4943.132,53844.207,3621.859,101.922,17.026,90217.852,1099.841,20.2635,2310.408,1.294,38.326,0.108,2.89,0.008,1.927,5.71,1106.204,3.112,663.881,1.865,184.874,0.519,93.614,0.263,0.067,1.3525,822.668,2.844,2.018,7.021,2.45,2.582,1.204,5.665,1.251,4.482,0.077,16.569,1.194,0.543,15.705,0.169,18.955,1.566,0.838,7.681,0.016,0.029,0.048,0.003,2032.769,686.239,1.518,8.701
